Epoch	Training Loss	Validation Loss
1	0.9422	0.8183
2	0.9448	0.8349
3	0.9429	0.8405
4	0.9424	0.8422
5	0.9422	0.8427
6	0.9420	0.8427
7	0.9419	0.8426
8	0.9418	0.8425
9	0.9416	0.8424
10	0.9415	0.8422
11	0.9414	0.8420
12	0.9413	0.8419
13	0.9411	0.8417
14	0.9410	0.8416
15	0.9409	0.8414
16	0.9407	0.8413
17	0.9406	0.8411
18	0.9405	0.8409
19	0.9403	0.8408
20	0.9402	0.8406
21	0.9401	0.8405
22	0.9400	0.8403
23	0.9398	0.8402
24	0.9397	0.8400
25	0.9396	0.8398
26	0.9394	0.8397
27	0.9393	0.8395
28	0.9392	0.8394
29	0.9391	0.8392
30	0.9389	0.8391
31	0.9388	0.8389
32	0.9387	0.8387
33	0.9385	0.8386
34	0.9384	0.8384
35	0.9383	0.8383
36	0.9382	0.8381
37	0.9380	0.8380
38	0.9379	0.8378
39	0.9378	0.8377
40	0.9376	0.8375
41	0.9375	0.8373
42	0.9374	0.8372
43	0.9373	0.8370
44	0.9371	0.8369
45	0.9370	0.8367
46	0.9369	0.8366
47	0.9367	0.8364
48	0.9366	0.8362
49	0.9365	0.8361
50	0.9364	0.8359
51	0.9362	0.8358
52	0.9361	0.8356
53	0.9360	0.8355
54	0.9358	0.8353
55	0.9357	0.8352
56	0.9356	0.8350
57	0.9355	0.8348
58	0.9353	0.8347
59	0.9352	0.8345
60	0.9351	0.8344
61	0.9349	0.8342
62	0.9348	0.8341
63	0.9347	0.8339
64	0.9346	0.8337
65	0.9344	0.8336
66	0.9343	0.8334
67	0.9342	0.8333
68	0.9340	0.8331
69	0.9339	0.8330
70	0.9338	0.8328
71	0.9337	0.8327
72	0.9335	0.8325
73	0.9334	0.8323
74	0.9333	0.8322
75	0.9332	0.8320
76	0.9330	0.8319
77	0.9329	0.8317
78	0.9328	0.8316
79	0.9326	0.8314
80	0.9325	0.8313
81	0.9324	0.8311
82	0.9323	0.8310
83	0.9321	0.8308
84	0.9320	0.8306
85	0.9319	0.8305
86	0.9317	0.8303
87	0.9316	0.8302
88	0.9315	0.8300
89	0.9314	0.8299
90	0.9312	0.8297
91	0.9311	0.8296
92	0.9310	0.8294
93	0.9309	0.8293
94	0.9307	0.8291
95	0.9306	0.8289
96	0.9305	0.8288
97	0.9303	0.8286
98	0.9302	0.8285
99	0.9301	0.8283
